cb998e4 | LeDatPhucAn | add animations to the updating hash node
535b980 | LeDatPhucAn | Update SinglyLinkedList.cpp
1580792 | LeDatPhucAn | Update SinglyLinkedList.cpp
2b75f76 | LeDatPhucAn | fix insert linkedlist not highlighting edge
26c66ae | LeDatPhucAn | just small update remove doesnt work yet
0498cbe | LeDatPhucAn | add animManager for remove
b2845ad | LeDatPhucAn | Sơ sơ chạy animation của LinkedList về insert và search
1047b3d | LeDatPhucAn | update animations
5f5115a | LeDatPhucAn | possibly done with Linkedlist insertion
74c237c | LeDatPhucAn | so-so LLinsert animation
e65c7f2 | LeDatPhucAn | updating animations
27d0b5e | Pham Tien Dat | Merge pull request #42 from LeDatPhucAn/master
eb0f6e9 | Pham Tien Dat | Merge pull request #41 from LeDatPhucAn/TienDat1
80a0042 | Pham Tien Dat | Fix bug when modifying a node
a0cc001 | Pham Tien Dat | Finish using Button as Treap's Node
7917d6d | Pham Tien Dat | Some steps to use Buttons as Treap's nodes
1af2701 | LeDatPhucAn | Update SinglyLinkedListUI.cpp
fd805c1 | LeDatPhucAn | added comments for buttons and animations
fd16d26 | LeDatPhucAn | adding comments to Buttons
bec2966 | LeDatPhucAn | remove HashTableNode
5d862a4 | Pham Tien Dat | Merge pull request #40 from LeDatPhucAn/master
435a4cf | Khoa Nguyen | use LLNode.h instead
21830df | Khoa Nguyen | use LLNode.h instead
31a05fc | Khoa Nguyen | use LLNode.h instead
971b36f | Khoa Nguyen | use LLNode.h instead
c8d56ec | Khoa Nguyen | Delete Data Structure Visualization/header/HashTableNode.h
3e4d4a3 | Khoa Nguyen | Delete Data Structure Visualization/source/HashTableNode.cpp
7e37470 | Khoa Nguyen | Add function
e846cfe | Khoa Nguyen | Add more button for hash table and change bucket display
68b6726 | Khoa Nguyen | Add more button for hash table
6f981e3 | Khoa Nguyen | Update function
c2ccd9b | LeDatPhucAn | k
5871c18 | LeDatPhucAn | taken hashtable from AnhKhoa
595e5ba | LeDatPhucAn | Update SceneHandler.cpp
5d90d1f | LeDatPhucAn | updated a few animation buttons
1e52992 | LeDatPhucAn | Update SinglyLinkedList.cpp
b369e56 | LeDatPhucAn | playForward and playBackward work for now
03169ae | LeDatPhucAn | updating scene buttons and animation
f37bc4d | LeDatPhucAn | added Go forwards and Go Backwards buttons
e4492ae | LeDatPhucAn | removing redundancies relating to Menu Button
9137bac | LeDatPhucAn | remove unnecessary code
8f3632b | LeDatPhucAn | updating Apply state for animation manager and animation
ed60df1 | LeDatPhucAn | Let Bot cook
e460f7a | LeDatPhucAn | added animation manager
c16867a | LeDatPhucAn | updating linkedlist insert
3cd3f7f | LeDatPhucAn | little update
23e4661 | LeDatPhucAn | adjusting reverse animation for Circle HighLight
a338a16 | LeDatPhucAn | Linked List can do search animation now
627492d | LeDatPhucAn | shortening
cba588d | LeDatPhucAn | Revert "update clicking button"
67c967e | LeDatPhucAn | update clicking button
d78c825 | LeDatPhucAn | add pause button
f0c4b49 | LeDatPhucAn | fixed arrow head equation
7579f55 | LeDatPhucAn | adding some animation functions for nodes
b18d4c0 | Pham Tien Dat | Add highlight functions
cf79282 | Pham Tien Dat | Fix bug
24c4500 | LeDatPhucAn | update animation names
212077e | Pham Tien Dat | Add animation queue to TreapUI
2f11a82 | LeDatPhucAn | Update Button.h
0b54e18 | LeDatPhucAn | refactoring Buttons
dcda336 | LeDatPhucAn | add loadfile for linkedlist
59c8a6a | LeDatPhucAn | updating NumberInputCircleInCamera so that it doesn't need a camera object
f21b825 | LeDatPhucAn | Update Animation.h
c596338 | LeDatPhucAn | updating linkedlist nodes to be buttons
836bbd2 | LeDatPhucAn | huge repercussion
eb6fd22 | LeDatPhucAn | updating nodes to be clickable
3174524 | LeDatPhucAn | sub buttons now has an animation when clicking head buttons
98475b4 | LeDatPhucAn | make some small changes to the treap colors
8af8aec | ntd | Mergr branh 'PhucAn' into 'TanDat'
d438d50 | ntd | .
48e91cd | ntd | Revert "Merge branch master into TanDat"
154da76 | ntd | Merge branch master into TanDat
77594ac | ntd | Add some functions(add, remove) for Graph
fa473d5 | LeDatPhucAn | trying to develop an idea on how to organize animations
233a8b0 | LeDatPhucAn | Update SinglyLinkedList.cpp
c2f9310 | LeDatPhucAn | Update SinglyLinkedListUI.cpp
fbbdc1c | LeDatPhucAn | update random and add clear button
8d257b1 | LeDatPhucAn | Merge pull request #25 from LeDatPhucAn/PhucAn
f14b366 | LeDatPhucAn | updated Animation for LinkedList
4a53148 | LeDatPhucAn | Check https://easings.net to know how Easings will look
e7ad6e5 | LeDatPhucAn | Implemented Buttons Animation
b888372 | LeDatPhucAn | more tries
fa604df | LeDatPhucAn | whatevertheflip
7c031bb | LeDatPhucAn | add button color animation
3e58980 | LeDatPhucAn | Preparing for animation
de3a741 | LeDatPhucAn | trying to animate
7447d50 | LeDatPhucAn | updating loadfile
c76b335 | LeDatPhucAn | Merge branch 'PhucAn' of https://github.com/LeDatPhucAn/Data-Structure-Visualization into PhucAn
6d92e43 | LeDatPhucAn | updating codeblocks
1603625 | LeDatPhucAn | Merge pull request #23 from LeDatPhucAn/PhucAn
4fedf5e | LeDatPhucAn | Merge branch 'master' into PhucAn
baf2df8 | LeDatPhucAn | updating CodeBlocks
bfe5972 | ntd | Revert "Merge remote-tracking branch 'origin' into TanDat"
cb09bb9 | ntd | Merge remote-tracking branch 'origin' into TanDat Merge branch 'master' into branch 'TanDat'
644534b | ntd | Fix file Graph.cpp
e163b37 | Pham Tien Dat | Merge pull request #22 from LeDatPhucAn/TienDat
e26ebf2 | Pham Tien Dat | Fix bug when loading file.
b3062bd | Pham Tien Dat | Merge pull request #21 from LeDatPhucAn/master
d0dced6 | Pham Tien Dat | Merge branch 'TienDat' into master
2034cfb | Pham Tien Dat | Changes for searching
2544429 | LeDatPhucAn | Merge pull request #20 from LeDatPhucAn/PhucAn
50f8485 | LeDatPhucAn | updating font and buttons
cf3715f | ntd | Merge remote-tracking branch 'origin/PhucAn' into TanDat Merge branch 'origin/PhucAn' into TanDat
8325700 | LeDatPhucAn | updating code blocks
27ba86f | Pham Tien Dat | Add Load File Button
ce872a9 | LeDatPhucAn | update codeblock
c544b4f | ntd | Fix the GraphUI.h
2332c52 | ntd | Add pointer this for scenehandler in all scences
feeb75e | ntd | Write the logic functions in Graph, and a few functions in GraphUI
551cb3a | LeDatPhucAn | Merge pull request #19 from LeDatPhucAn/PhucAn
d082cce | LeDatPhucAn | adding Code Blocks initials
27ddccb | LeDatPhucAn | Updating Button Repositioning
96e869a | LeDatPhucAn | updating buttons of every datastructures
e01d569 | LeDatPhucAn | Merge branch 'master' into PhucAn
f35d085 | LeDatPhucAn | organize button.h
d4324e8 | Pham Tien Dat | Merge pull request #18 from LeDatPhucAn/master
09e285a | Pham Tien Dat | Merge branch 'TienDat' into master
507e710 | Pham Tien Dat | Change menu buttons
3f9f2a4 | Pham Tien Dat | Change buttons in menu
a91c76b | LeDatPhucAn | Merge pull request #15 from LeDatPhucAn/PhucAn
6d28db9 | LeDatPhucAn | retouch Treap Icon
07e529c | LeDatPhucAn | Update Data Structure Visualization.vcxproj
557b57a | LeDatPhucAn | Merge branch 'master' into PhucAn
a459ec0 | LeDatPhucAn | update edge
af6bf22 | Khoa Nguyen | update treap images
45bfa5d | Khoa Nguyen | Delete menu-treap-selected
830acc7 | Khoa Nguyen | Delete menu-treap-normal
e4d4911 | Pham Tien Dat | Merge pull request #14 from LeDatPhucAn/TienDat
8346bb3 | Pham Tien Dat | Add clear button for treap.
12e28c0 | LeDatPhucAn | up
4dd7885 | Pham Tien Dat | Fix removal bug
3776186 | Pham Tien Dat | Add priority input and clear input buffer after insertion, searching and removal.
debba86 | LeDatPhucAn | update edge
794c4c9 | LeDatPhucAn | change window height
553a026 | LeDatPhucAn | Merge branch 'master' into PhucAn
a0c62f5 | Pham Tien Dat | Merge pull request #13 from LeDatPhucAn/master
6bada24 | LeDatPhucAn | Adding Buttons to Treap
1e1ccee | Pham Tien Dat | Merge pull request #12 from LeDatPhucAn/TienDat
66d0e80 | Pham Tien Dat | Fix crash problem in treap
68dd6f5 | Khoa Nguyen | Add initial function and buttons for HashTableUI.cpp
03236d2 | Khoa Nguyen | Add treap buttons
c5d7ad7 | LeDatPhucAn | adding buttons
0901080 | LeDatPhucAn | Merge branch 'master' into PhucAn
deb2ba6 | LeDatPhucAn | fix
779316d | LeDatPhucAn | Merge branch 'PhucAn' of https://github.com/LeDatPhucAn/Data-Structure-Visualization into PhucAn
c491260 | LeDatPhucAn | update random values
f08657b | Pham Tien Dat | Merge pull request #11 from LeDatPhucAn/TienDat
9116c40 | Pham Tien Dat | Fix constructor of Treap for handling user input's priority
58198f4 | Pham Tien Dat | Merge pull request #10 from LeDatPhucAn/master
9f3ca95 | LeDatPhucAn | Merge pull request #9 from LeDatPhucAn/PhucAn
9bad260 | LeDatPhucAn | Merge branch 'master' into PhucAn
379409c | LeDatPhucAn | update treap
8b9a3ae | Pham Tien Dat | Update gitignore
24b03c3 | Pham Tien Dat | Merge pull request #8 from LeDatPhucAn/TienDat
8b27b01 | Pham Tien Dat | Delete redundant files
b0a080d | Pham Tien Dat | Complete drawing treap
04114c1 | LeDatPhucAn | upping stuff
1385e9b | Pham Tien Dat | Dynamic spacing when drawing nodes
c283770 | Pham Tien Dat | Add init function for TreapUI
b69f4cf | Khoa Nguyen | Update HashTableUI.cpp
e394ced | Khoa Nguyen | Add destructor for HashTableUI.h
4d64690 | Pham Tien Dat | Merge branch 'master' into TienDat
f1835d9 | Pham Tien Dat | Merge pull request #6 from LeDatPhucAn/PhucAn
280cadb | Pham Tien Dat | Merge branch 'master' into PhucAn
787e85e | Pham Tien Dat | Some changes
cdab06f | LeDatPhucAn | adding treap and hashtable
0f8c752 | LeDatPhucAn | update hashtable
c932697 | LeDatPhucAn | updating button
ca4877d | LeDatPhucAn | update edge
2c1d729 | Khoa Nguyen | Update drawing function for HashTableUI.cpp
35d6eae | LeDatPhucAn | Update Button.cpp
f777beb | LeDatPhucAn | Revert "Merge branch 'TienDat' into PhucAn"
b03b774 | LeDatPhucAn | update button
237f6e1 | Khoa Nguyen | Create HashTableUI.cpp
f933b58 | Khoa Nguyen | Add initial data for HashTableUI.h
31ec8b2 | LeDatPhucAn | Merge pull request #4 from LeDatPhucAn/PhucAn
ca7eb0f | Pham Tien Dat | Add TreapUI to SceneHandler
6372c28 | Pham Tien Dat | Fix some draw functions
c56b7d0 | Pham Tien Dat | Merge pull request #5 from LeDatPhucAn/PhucAn
932d14e | Pham Tien Dat | Merge branch 'TienDat' into PhucAn
2580dea | LeDatPhucAn | adding button features
83bc976 | LeDatPhucAn | Turning the buttons into linked list for sub Button insertion
6b51b91 | LeDatPhucAn | making buttons easier
4b9ac2e | LeDatPhucAn | updating a whole buncha buttons
7a7c1f0 | LeDatPhucAn | adding extra buttons
fe046bc | LeDatPhucAn | adding buttons and input boxes
f0647a3 | Pham Tien Dat | Changes to use Edge
91b4e97 | Pham Tien Dat | Make TreapNode inherited from Node
9b00131 | Pham Tien Dat | Some steps to handle dynamic size when insert node into treap
9557460 | Pham Tien Dat | Merge pull request #3 from LeDatPhucAn/master
5213209 | Pham Tien Dat | Remove some redundant lines
07d4103 | LeDatPhucAn | Fix bug when removing node
b817d63 | LeDatPhucAn | Revert "Fix bug when removing node"
5fa3865 | LeDatPhucAn | Merge branch 'TienDat' into PhucAn
85d0929 | LeDatPhucAn | Merge branch 'master' into PhucAn
f44f550 | LeDatPhucAn | stuff
d2d5622 | LeDatPhucAn | Fix bug when removing node
1583bf3 | Pham Tien Dat | Draw Treap's node and links
9c91422 | LeDatPhucAn | adding edges and position to Node
3bd21e4 | LeDatPhucAn | adding edge (links) structure
f32cc7d | LeDatPhucAn | adding node variables
fad1993 | LeDatPhucAn | Making a better lookin menu
bdf0c1f | Pham Tien Dat | Fix some logic errors
04e6f2e | Pham Tien Dat | Revert "Merge branch 'TienDat' into master"
83bf071 | Pham Tien Dat | Merge branch 'TienDat' into master
7d4779a | LeDatPhucAn | Merge pull request #1 from LeDatPhucAn/PhucAn
8cf04dd | LeDatPhucAn | Multiple UI updates
a7b6727 | LeDatPhucAn | added get current scene function
926eba0 | LeDatPhucAn | adding scenes for different interfaces
405bf77 | Pham Tien Dat | Some functions to draw treap's nodes.
b0c2ffc | LeDatPhucAn | zoom and camera controls
30436bc | Pham Tien Dat | Adding some functions for UI purpose
ddfa5e5 | Pham Tien Dat | Create TreapNode.h
6d7fbe2 | LeDatPhucAn | some more animation testing
66cc90d | Pham Tien Dat | Delete redundant Treap.cpp file
0d8d20c | LeDatPhucAn | testing animation
3e1ae58 | LeDatPhucAn | some stuff
6bdf668 | LeDatPhucAn | removing templates
75b9b52 | Pham Tien Dat | Changes in Data Structure Visualization.vcxproj and Data Structure Visualization.vcxproj.filters
6046da7 | Pham Tien Dat | Remove template class of treap
e1ede69 | LeDatPhucAn | debuggingfor2hrscuzthedestructorrecursivelydeleteallthenextnodeswheneveriusedeleteoperator
ca2ad9f | LeDatPhucAn | Putting the function implementations in header files
be4db6b | Pham Tien Dat | Update Treap.h to use TreapNode.h
12eb9e7 | Pham Tien Dat | Minor changes in "TreapNode.h"
86b5b93 | Pham Tien Dat | Rename tree-related files
bd90e95 | Pham Tien Dat | Add insert, search, remove functions
242b2b4 | LeDatPhucAn | Merge branch 'master' of https://github.com/LeDatPhucAn/Data-Structure-Visualization
397a297 | LeDatPhucAn | adding node classes
ecf3b24 | Pham Tien Dat | Add rotate functions for treap
f00a7f5 | LeDatPhucAn | update node
be9aa2b | LeDatPhucAn | fixed font problem
5871ede | LeDatPhucAn | allowed some Interactions with linkedlist
543eca5 | Khoa Nguyen | Add hash table function
e17b158 | Khoa Nguyen | Add hash table funtion
3fe1ff3 | LeDatPhucAn | added linkedlist changes
4c7b11c | LeDatPhucAn | update drawlinkedlist
722f225 | LeDatPhucAn | need to fix font
617718e | LeDatPhucAn | Linkedlist progress
31ca3d7 | LeDatPhucAn | Organizing LinkedList class
cb38c20 | LeDatPhucAn | Minor changes
5de8246 | LeDatPhucAn | Update UI.cpp
4adcbad | LeDatPhucAn | making initial steps
470afbf | LeDatPhucAn | Add project files.
2ce860e | LeDatPhucAn | Add .gitattributes and .gitignore.
